               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  49,            0.090944,            0.075021,            0.083117,           0.0021005,            0.053179,           0.0032988,           0.0011653,            0.089788,            0.037231,            0.082397,             0.01042,           0.0094198,           0.0094198
                  50,            0.088428,            0.080145,            0.081194,           0.0028795,            0.067706,           0.0057298,           0.0014971,            0.087954,            0.037643,            0.081909,            0.009505,            0.009505,            0.009505
                  51,            0.088219,            0.066183,            0.080785,           0.0028694,            0.079178,           0.0072136,           0.0019338,            0.087249,            0.037811,            0.081314,            0.009505,            0.009505,            0.009505
                  52,            0.086326,            0.071616,            0.082274,           0.0024126,            0.078656,           0.0055802,           0.0017034,            0.088583,             0.03846,             0.08107,           0.0094951,           0.0094951,           0.0094951
                  53,            0.088121,            0.072344,            0.081566,           0.0029571,            0.095717,           0.0062571,           0.0018905,            0.086123,            0.038719,            0.080826,           0.0094852,           0.0094852,           0.0094852
                  54,            0.087395,            0.075576,            0.077155,             0.18649,            0.025597,           0.0044477,           0.0014942,            0.091042,            0.037064,            0.080246,           0.0094753,           0.0094753,           0.0094753
                  55,            0.086628,            0.070021,            0.079043,             0.67914,            0.014043,           0.0092138,           0.0034974,            0.086286,            0.039597,            0.079224,           0.0094654,           0.0094654,           0.0094654
                  56,            0.087876,            0.069537,            0.076314,             0.35469,            0.025423,           0.0072868,           0.0024454,            0.086724,              0.0382,            0.078674,           0.0094555,           0.0094555,           0.0094555
                  57,            0.085857,            0.077428,            0.077912,           0.0027209,            0.091121,           0.0088575,           0.0025511,            0.086516,            0.044594,            0.078979,           0.0094456,           0.0094456,           0.0094456
                  58,            0.084265,            0.072549,            0.078069,           0.0036657,              0.1326,           0.0089187,           0.0029463,            0.087802,            0.043472,             0.07869,           0.0094357,           0.0094357,           0.0094357
                  59,            0.086625,            0.071555,            0.076465,           0.0032872,            0.083912,            0.011205,           0.0034443,            0.088124,              0.0457,            0.077789,           0.0094258,           0.0094258,           0.0094258
                  60,            0.086079,            0.070254,            0.075432,           0.0037243,             0.14953,            0.010658,           0.0037602,            0.086715,            0.042244,            0.077225,           0.0094159,           0.0094159,           0.0094159
                  61,            0.084892,            0.070637,            0.075432,           0.0040771,             0.14117,            0.015104,           0.0039871,            0.084695,            0.045006,            0.077362,            0.009406,            0.009406,            0.009406
                  62,            0.081886,            0.072602,            0.076914,             0.47164,             0.06111,            0.016241,           0.0053253,            0.082989,            0.044952,            0.076599,           0.0093961,           0.0093961,           0.0093961
                  63,            0.081487,            0.070364,            0.076114,             0.64381,            0.055784,            0.022547,           0.0076276,             0.08157,            0.045708,            0.076172,           0.0093862,           0.0093862,           0.0093862
                  64,            0.082133,            0.077791,            0.073355,             0.71603,            0.042402,            0.019606,            0.005646,            0.082935,            0.047676,            0.075684,           0.0093763,           0.0093763,           0.0093763
                  65,            0.081804,            0.073556,             0.07549,             0.77393,            0.029848,            0.032392,           0.0082592,             0.08104,            0.043961,            0.074783,           0.0093664,           0.0093664,           0.0093664
                  66,            0.079557,            0.078752,            0.077278,             0.74252,            0.027068,            0.017802,           0.0049719,            0.082821,            0.040138,            0.075363,           0.0093565,           0.0093565,           0.0093565
                  67,            0.080764,            0.075354,            0.076002,             0.69995,            0.044652,            0.026171,           0.0064151,            0.081031,             0.04113,            0.074692,           0.0093466,           0.0093466,           0.0093466
